Largura:100  Altura:100 
Ofsset para os pixels: 138
Numero de compressao: 0
ponto final = 30140 
Pos: 1172 ------- Red: 255, Green: 0, Blue: 0
Pos: 1175 ------- Red: 255, Green: 0, Blue: 0
Pos: 1178 ------- Red: 255, Green: 0, Blue: 0
Pos: 1181 ------- Red: 255, Green: 0, Blue: 0
Pos: 1184 ------- Red: 255, Green: 0, Blue: 0
Pos: 1187 ------- Red: 255, Green: 0, Blue: 0
Pos: 1190 ------- Red: 255, Green: 0, Blue: 0
Pos: 1193 ------- Red: 255, Green: 0, Blue: 0
Pos: 1196 ------- Red: 255, Green: 0, Blue: 0
Pos: 1199 ------- Red: 255, Green: 0, Blue: 0
Pos: 1202 ------- Red: 255, Green: 0, Blue: 0
Pos: 1205 ------- Red: 255, Green: 0, Blue: 0
Pos: 1208 ------- Red: 255, Green: 0, Blue: 0
Pos: 1211 ------- Red: 255, Green: 0, Blue: 0
Pos: 1214 ------- Red: 255, Green: 0, Blue: 0
Pos: 1217 ------- Red: 255, Green: 0, Blue: 0
Pos: 1220 ------- Red: 255, Green: 0, Blue: 0
Pos: 1223 ------- Red: 255, Green: 0, Blue: 0
Pos: 1226 ------- Red: 255, Green: 0, Blue: 0
Pos: 1229 ------- Red: 255, Green: 0, Blue: 0
Pos: 1232 ------- Red: 255, Green: 0, Blue: 0
Pos: 1235 ------- Red: 255, Green: 0, Blue: 0
Pos: 1238 ------- Red: 255, Green: 0, Blue: 0
Pos: 1241 ------- Red: 255, Green: 0, Blue: 0
Pos: 1244 ------- Red: 255, Green: 0, Blue: 0
Pos: 1247 ------- Red: 255, Green: 0, Blue: 0
Pos: 1250 ------- Red: 255, Green: 0, Blue: 0
Pos: 1253 ------- Red: 255, Green: 0, Blue: 0
Pos: 1256 ------- Red: 255, Green: 0, Blue: 0
Pos: 1259 ------- Red: 255, Green: 0, Blue: 0
Pos: 1262 ------- Red: 255, Green: 0, Blue: 0
Pos: 1265 ------- Red: 255, Green: 0, Blue: 0
Pos: 1268 ------- Red: 255, Green: 0, Blue: 0
Pos: 1271 ------- Red: 255, Green: 0, Blue: 0
Pos: 1274 ------- Red: 255, Green: 0, Blue: 0
Pos: 1277 ------- Red: 255, Green: 0, Blue: 0
Pos: 1280 ------- Red: 255, Green: 0, Blue: 0
Pos: 1283 ------- Red: 255, Green: 0, Blue: 0
Pos: 1286 ------- Red: 255, Green: 0, Blue: 0
Pos: 1289 ------- Red: 255, Green: 0, Blue: 0
Pos: 1292 ------- Red: 255, Green: 0, Blue: 0
Pos: 1295 ------- Red: 255, Green: 0, Blue: 0
Pos: 1298 ------- Red: 255, Green: 0, Blue: 0
Pos: 1301 ------- Red: 255, Green: 0, Blue: 0
Pos: 1304 ------- Red: 255, Green: 0, Blue: 0
Pos: 1307 ------- Red: 255, Green: 0, Blue: 0
Pos: 1310 ------- Red: 255, Green: 0, Blue: 0
Pos: 1313 ------- Red: 255, Green: 0, Blue: 0
Pos: 1316 ------- Red: 255, Green: 0, Blue: 0
Pos: 1319 ------- Red: 255, Green: 0, Blue: 0
Pos: 1322 ------- Red: 255, Green: 0, Blue: 0
Pos: 1325 ------- Red: 255, Green: 0, Blue: 0
Pos: 1328 ------- Red: 255, Green: 0, Blue: 0
Pos: 1331 ------- Red: 255, Green: 0, Blue: 0
Pos: 1334 ------- Red: 255, Green: 0, Blue: 0
Pos: 1337 ------- Red: 255, Green: 0, Blue: 0
Pos: 1340 ------- Red: 255, Green: 0, Blue: 0
Pos: 1343 ------- Red: 255, Green: 0, Blue: 0
Pos: 1346 ------- Red: 255, Green: 0, Blue: 0
Pos: 1349 ------- Red: 255, Green: 0, Blue: 0
Pos: 1352 ------- Red: 255, Green: 0, Blue: 0
Pos: 1355 ------- Red: 255, Green: 0, Blue: 0
Pos: 1358 ------- Red: 255, Green: 0, Blue: 0
Pos: 1361 ------- Red: 255, Green: 0, Blue: 0
Pos: 1364 ------- Red: 255, Green: 0, Blue: 0
Pos: 1367 ------- Red: 255, Green: 0, Blue: 0
Pos: 1370 ------- Red: 255, Green: 0, Blue: 0
Pos: 1373 ------- Red: 255, Green: 0, Blue: 0
Pos: 1376 ------- Red: 255, Green: 0, Blue: 0
Pos: 1379 ------- Red: 255, Green: 0, Blue: 0
Pos: 1382 ------- Red: 255, Green: 0, Blue: 0
Pos: 1385 ------- Red: 255, Green: 0, Blue: 0
Pos: 1388 ------- Red: 255, Green: 0, Blue: 0
Pos: 1391 ------- Red: 255, Green: 0, Blue: 0
Pos: 1394 ------- Red: 255, Green: 0, Blue: 0
Pos: 1397 ------- Red: 255, Green: 0, Blue: 0
Pos: 1400 ------- Red: 255, Green: 0, Blue: 0
Pos: 1403 ------- Red: 255, Green: 0, Blue: 0
Pos: 1406 ------- Red: 255, Green: 0, Blue: 0
Pos: 1409 ------- Red: 255, Green: 0, Blue: 0
Pos: 1412 ------- Red: 255, Green: 0, Blue: 0
Pos: 1415 ------- Red: 255, Green: 0, Blue: 0
Pos: 1418 ------- Red: 255, Green: 0, Blue: 0
Pos: 1421 ------- Red: 255, Green: 0, Blue: 0
Pos: 1424 ------- Red: 255, Green: 0, Blue: 0
Pos: 1427 ------- Red: 255, Green: 0, Blue: 0
Pos: 1430 ------- Red: 255, Green: 0, Blue: 0
Pos: 1433 ------- Red: 255, Green: 0, Blue: 0
Pos: 1436 ------- Red: 255, Green: 0, Blue: 0
Pos: 1439 ------- Red: 255, Green: 0, Blue: 0
Pos: 1442 ------- Red: 255, Green: 0, Blue: 0
Pos: 1445 ------- Red: 255, Green: 0, Blue: 0
Pos: 1448 ------- Red: 255, Green: 0, Blue: 0
Pos: 1451 ------- Red: 255, Green: 0, Blue: 0
Pos: 1454 ------- Red: 255, Green: 0, Blue: 0
Pos: 1457 ------- Red: 255, Green: 0, Blue: 0
Pos: 1460 ------- Red: 255, Green: 0, Blue: 0
Pos: 1463 ------- Red: 255, Green: 0, Blue: 0
Pos: 1466 ------- Red: 255, Green: 0, Blue: 0
Pos: 1469 ------- Red: 255, Green: 0, Blue: 0
Pos: 1472 ------- Red: 255, Green: 0, Blue: 0
Pos: 1475 ------- Red: 255, Green: 0, Blue: 0
Pos: 1478 ------- Red: 255, Green: 0, Blue: 0
Pos: 1481 ------- Red: 255, Green: 0, Blue: 0
Pos: 1484 ------- Red: 255, Green: 0, Blue: 0
Pos: 1487 ------- Red: 255, Green: 0, Blue: 0
Pos: 1490 ------- Red: 255, Green: 0, Blue: 0
